ID,ESC1,ESC2,EB1,EB2,EB3,EB4,NSC1,NSC2,NEURON1,NEURON2,LIMB1,LIMB2,LIMB3,LIMB4
Sox6,0.112890148,0.240451477,0.080222485,0.083294173,0.056608104,0.068210044,0.307675923,0.556544953,0.1717525,0.159516285,0.617890764,0.62065034,0.615890465,0.335582847
ELAVL4,0.20761793,0.366344246,0.111044463,0.081571184,0.097997345,0.108672618,0.604937624,0.713176642,0.678057703,0.676501602,1.136985363,1.217022761,1.3121409,0.929648948
Col5a2,5.812088042,1.905812277,0.647725034,0.715191676,0.514616203,0.45999848,0.990909174,0.829057017,6.258286087,27.17625239,2.828634965,3.824346519,3.4239111,3.543834101
Ube4b,16.03655958,13.51703558,1.812509277,4.530064699,4.191380945,6.355314436,61.38754813,86.66037046,22.60582456,76.44924621,34.62316946,29.47884627,64.29287109,111.8568193
Map2k6,0.047011801,0.123523003,0.050385702,0.070479379,0.034547509,0.028726706,0.619881639,0.56069005,0.415526568,0.359613284,0.272771751,0.413085663,0.466538663,0.392084073
KCNA4,31.67589232,18.66879131,6.435366339,7.037258914,8.010810469,8.307997038,13.13388177,38.26404281,51.76104135,68.88878619,119.7804856,49.34010822,139.1535862,201.8242868
Fgf7,0.61414989,0.190963307,0.07203619,0.064485452,0.038192426,0.078010637,0.69096957,0.68646392,1.822276715,1.172248736,0.989188868,0.927726855,0.755726521,0.704304631
Grik2,0.741304009,0.905675437,0.329753214,0.301837283,0.206442777,0.235719235,3.465042553,3.885651324,0.957937861,0.669720303,2.027507121,2.092876009,2.414540841,3.206538243
Adamts6,0.043254379,0.109360203,0.049292908,0.031580721,0.026783761,0.032027022,0.295890819,0.337463928,0.057824984,0.072388745,0.2294629,0.235727261,0.28434198,0.345825502
Emx2,0.487250402,0.578304294,0.254926659,0.130440051,0.136893297,0.172781431,2.531448972,1.60001614,0.461014807,0.309026578,2.435986751,2.058390561,2.084094184,1.989941231
Nfat5,0.152649635,0.291844667,0.090533876,0.067454384,0.043405711,0.081288764,0.744789117,0.846843722,0.154450078,0.093219082,1.09680692,1.110962018,1.095491206,0.829502382
Gpc6,1.806234646,2.088666334,0.292700702,0.321754852,0.243106361,0.411535992,0.968750244,1.563913053,5.858858634,12.50936781,3.470786183,2.353735336,5.307421254,5.010305415
Nkx2-1,0.163368739,0.323655504,0.217838523,0.098531793,0.048702677,0.062602941,0.88263021,0.844721461,0.263411291,0.38161613,0.4083136,0.519989531,0.698580812,0.516734696
Lpar4,0.06427346,0.155371455,0.063612504,0.049204608,0.031857996,0.040266072,0.407671799,0.24650477,0.229489609,0.265663391,0.336410868,0.49574739,0.416072142,0.429468918
Lpar4,0.079691117,0.147554478,0.07525049,0.062350604,0.055686113,0.049115765,0.465832183,0.609277505,0.258520417,0.3639221,0.510336222,0.443768897,0.44101234,0.417400004
Nr1d1,0.493767354,0.549494736,0.188832431,0.158772244,0.093449666,0.092130104,0.759216158,1.040697201,0.113111738,0.087937908,1.504958771,1.181602915,1.96848184,1.741828422
Ralyl,0.275813326,0.412319286,0.157275237,0.170316178,0.106290175,0.144349069,1.86475493,4.051397106,0.805082078,0.794490224,0.886299002,1.021898103,0.841979208,1.199582601
Cryab,2.764272652,4.242761523,0.638203632,1.281426297,1.120566698,0.475823042,4.835166649,5.176128883,6.541103105,2.278913218,29.00013599,19.30295467,15.79290079,20.57695737
Zic5,0.606357115,0.906655242,0.174993274,0.18911033,0.121225414,0.090960263,1.124381847,0.937063377,0.75599829,0.439329625,2.17714006,1.784210089,2.108028183,2.428140142
Qrich1,0.163108623,0.239249246,0.110809613,0.066488088,0.06108677,0.058236548,0.923663132,1.185189849,0.259748494,0.068093415,0.73289495,0.87744993,0.566092853,0.689678695
Ube4b,37.01161033,40.72420073,9.949476585,5.324027671,7.539680913,7.618400222,63.52380913,41.2690918,4.445877596,2.727240195,17.93192949,20.63183189,15.82373845,17.99234919
Ube4b,42.47862803,29.26980221,15.6722111,6.174273394,6.35107661,5.315695737,38.67633623,20.98761858,5.26191855,15.85490404,15.32064233,17.39538619,15.6377997,18.52913558
Elavl4,0.14251396,0.231953726,0.069957096,0.062060323,0.054328588,0.040668622,1.57613595,1.866972333,0.642248862,0.619599872,4.276004104,2.770037109,3.361004051,4.856064031
S2B6,1.663648535,2.650537947,0.799996456,1.245519622,0.841021986,0.795939354,1.483577619,1.6800132,1.860558199,1.319645751,11.69784965,9.020478568,9.006251012,12.02800212
Ikzf2,0.26008376,0.430383979,0.152167072,0.107689197,0.313509027,0.26951981,0.470754899,0.566375294,0.231865428,0.309005499,0.754454861,0.784375307,0.897324984,1.052400125
Fam19a1,0.080456564,0.145875451,0.0470797,0.069748994,0.06353602,0.082183512,0.480631421,1.11886576,0.434762777,0.262484383,1.089594668,0.952970824,0.922316856,0.982140734
Asxl2,92.26605918,2.36062108,1.332557776,0.897552053,1.527852507,0.758793804,3.937620441,5.220831168,0.77783345,0.616814297,6.719661319,3.963691804,4.419554099,4.281625345
Synpr,0.117146114,0.252011924,0.130961628,0.068485859,0.062754678,0.170782286,1.660727758,0.717483621,0.381679746,0.187976025,1.233157927,0.896674306,1.155606826,1.180875295
Slc22a17,0.310042102,0.500989377,0.09949542,0.073573359,0.070580384,0.086189696,2.102589086,0.842565436,0.461159469,0.25121608,1.478577721,1.407412798,1.096756189,1.215164458
Ube4b,1.374678622,2.569603152,0.770187763,0.623761151,0.418056554,0.296060354,1.174198876,0.803682186,1.126609127,0.915317925,5.47067845,5.758961805,5.215229318,5.72316883
Elmsan1,5.315910863,4.562653646,1.365574707,1.336666357,1.363002414,0.576593285,7.509099461,21.13941067,0.8499955,1.236561972,26.5213065,21.88360645,18.69374862,24.30772663
Ehbp1,0.088473917,0.167532752,0.073504102,0.065208518,0.087592543,0.050191624,0.846536173,0.682410868,0.143137088,0.091780144,0.958368919,0.863835841,0.671629629,0.780882018
Slc25a14,8.012414693,7.78053374,2.327461203,2.495330436,2.207228511,2.244342181,41.42903839,61.71784662,5.890466388,9.441040594,25.82743961,27.61799803,15.93144318,28.10616389
SYNPR,0.110447865,0.252849226,0.092131005,0.117609871,0.104346288,0.066928084,0.640688649,0.889397842,0.777138681,0.198955471,1.029468223,0.735903482,1.060947735,1.013627837
Ntng1,0.490089856,0.213145456,0.176915427,0.21715711,0.084367251,0.097496535,0.445708229,0.810812089,0.178980044,0.13092713,0.65748914,0.522328439,0.735706555,0.729943541
Hipk3,31.43946248,1.00288018,0.302916514,0.317751217,0.233299057,0.256846798,5.222489188,7.738024948,2.160166351,1.260394888,1.822583319,2.153246552,1.200915251,1.437368873
